player_id,name,pos,tier,window_start,window_matches,team_min_window,squad_matches,starts,start_share,on_min,minutes_share,off_min,on_gd90,off_gd90,onoff_diff,gate_onoff,starts_ppg,nonstart_ppg,ppg_diff,gate_ppg,goals,assists,pens,ga90,gate_ga90,rating_avg,rated_apps,rated_min,gate_rating,pct_minutes_share,pct_onoff,pct_ppg,pct_ga90,pct_rating
arsene-kouassi,Arsène Kouassi,DF,rotation,2025-06-02,20,1941,10,6,0.6,581,0.299,383,,,,0,,,,0,1,0,0,0.15,1,7.18,5,448,1,92,,,57,96
georgi-minoungou,Georgi Minoungou,FW,rotation,2025-09-05,14,1345,12,2,0.17,377,0.28,780,,,,0,,,,0,1,0,0,,0,,5,236,0,91,,,,
cedric-badolo,Cedric Badolo,MF,rotation,2022-03-24,51,4921,39,12,0.31,1247,0.253,2501,0.36,0.32,0.04,1,1.58,1.89,-0.31,1,0,3,0,0.22,1,6.65,16,912,1,90,38,38,73,9
pakwo-gnanou,Pakwo Gnanou,DF,,2026-06-05,2,191,1,0,0.0,47,0.246,49,,,,0,,,,0,0,0,0,,0,,1,45,0,,,,,
hassane-bande,Hassane Bandé,FW,marge,2022-01-09,58,5656,28,14,0.5,1288,0.228,1460,0.07,0.18,-0.12,1,1.57,1.5,0.07,1,3,0,1,0.21,1,6.91,16,908,1,89,19,85,68,57
adamo-nagalo,Adamo Nagalo,DF,marge,2022-11-19,46,4453,36,10,0.28,1015,0.228,2453,0.18,0.33,-0.15,1,1.1,1.96,-0.86,1,0,1,0,0.09,1,6.64,7,472,1,89,12,8,39,4
lassina-traore,Lassina Traoré,FW,marge,2023-03-24,45,4359,17,11,0.65,983,0.226,660,0.73,-0.27,1.01,1,,,,0,8,1,1,0.82,1,7.08,11,614,1,88,100,,100,85
mohamed-konate,Mohamed Konaté,FW,marge,2022-01-09,58,5656,33,12,0.36,1210,0.214,2025,-0.15,0.62,-0.77,1,1.58,1.62,-0.04,1,2,1,0,0.22,1,6.7,14,670,1,87,0,69,73,22
saidou-simpore,Saïdou Simporé,DF,marge,2022-01-09,58,5656,27,10,0.37,1198,0.212,1456,0.75,-0.06,0.81,1,1.9,1.53,0.37,1,0,1,0,0.08,1,6.84,11,582,1,85,94,100,34,43
mohamed-zougrana,Mohamed Zougrana,MF,marge,2025-03-21,22,2131,12,6,0.5,451,0.212,704,,,,0,,,,0,2,0,0,0.4,1,,2,61,0,85,,,86,
josue-tiendrebeogo,Josué Tiendrébéogo,MF,marge,2024-11-14,25,2417,10,5,0.5,511,0.211,437,,,,0,,,,0,2,1,0,0.53,1,,2,101,0,84,,,89,
adama-guira,Adama Guira,MF,marge,2022-01-09,58,5656,18,12,0.67,1122,0.198,646,-0.08,0.0,-0.08,1,,,,0,0,1,0,0.08,1,6.89,12,1049,1,83,31,,34,52
lohann-doucet,Lohann Doucet,MF,,2026-03-28,4,383,4,1,0.25,73,0.191,310,,,,0,,,,0,0,0,0,,0,,1,70,0,,,,,
cyriaque-irie,Cyriaque Irié,FW,marge,2025-06-02,20,1941,11,5,0.45,368,0.19,693,,,,0,,,,0,1,1,0,,0,,4,152,0,82,,,,
ismahila-ouedraogo,Ismahila Ouédraogo,MF,marge,2022-01-09,58,5656,34,10,0.29,1050,0.186,2282,0.17,-0.2,0.37,1,1.4,1.62,-0.22,1,0,0,0,0.0,1,6.66,10,597,1,81,81,46,11,13
